公司的全称,招聘岗位名称,工资,所在城市,工作年限,学历状况,公司标签,详情页url地址,岗位描述
Veeva System维我软件,python中高级后端开发工程师 ,25k-35k,北京,经验3-5年,['本科及以上 /'],"['软件服务｜咨询,IT技术服务｜咨询,医疗｜保健｜美容', '上市公司', '2000人以上']",https://www.lagou.com/wn/jobs/10417282.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['职位诱惑： \n', 'SAAS软件，ToB业务，医疗垂直领域，纽交所上市 \n', ' \n', '职位描述： \n', '职位诱惑： \n', '- 纽交所上市公司 \n', '- 全球生命科学行业 SaaS 商业解决方案领导者，世界前 50 强制药企业中有 49 家选择 Veeva \n', '- 有竞争力的薪酬和多元化福利（培训费、健身费、补充医疗保险、年度旅游、15天以上年假） \n', ' \n', '工作职责： \n', '- SaaS 平台架构设计、改进及实现，技术选型 \n', '- 分析业务需求，提供业务实现解决方案 \n', '- 与前端工程师、产品经理和测试工程师持续沟通协作，保证产品的质量和开发进度 \n', '- 在理解产品业务的基础上，提升产品的用户体验，利用技术驱动业务发展 \n', '- 跟踪研究前沿技术，并应用到公司的产品开发当中 \n', '- 公司项目原因需要使用 python 语言进行开发 \n', ' \n', ' \n', '任职资格： \n', '- 计算机相关专业本科及以上学历 \n', '- 3 年以上开发经验 \n', '- 熟悉 SaaS 平台软件设计和开发，有实际经验 \n', '- 大规模业务系统设计经验 \n', '- 熟悉常见数据结构和算法 \n', '- 熟悉掌握主流关系型数据库设计和开发 \n', '- 深入理解面向对象设计 \n', '- 熟悉至少一门主流编程语言，如 python, java, C++ 等 \n', '- 熟悉 web 开发的相关技术和框架，如 Django/Flask/Spring 等 \n', '- 对技术有持续热情，个性乐观开朗，逻辑性强，善于和各种背景的人合作']"
卓曜智能,python开发工程师 ,9k-16k,苏州,经验1-3年,['本科及以上 /'],"['人工智能服务,智能硬件,制造业', '未融资', '15-50人']",https://www.lagou.com/wn/jobs/10528222.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['职位描述： \n', '1）负责Python后端服务开发 \n', '2）程序界面开发，自动化设备控制 \n', '3）负责搭建和维护后台服务 \n', '4）深度学习训练自动化工程开发 \n', '5）日志系统SPL编写，数据分析任务 \n', ' \n', '任职要求： \n', '1）计算机、软件类相关专业，本科及以上学历，工作经验1~3年 \n', '2）有Python后端开发经验，熟悉MVC架构，精通Flask/Django/tornado等框架； \n', '3）熟悉网络编程，熟悉tcp，http等通讯协议，熟练使用多进程和多线程； \n', '4）熟悉mysql、redis等常用储存方案及基本原理，能够独立地合理设计数据库结构； \n', '5）精通Linux系统结构，并熟练使用各种linux操作系统命令； \n', '6）有大数据或机器学习经验者优先 \n', '7）有一定算法能力与思维 \n', '8）从事过自动化设备行业或对自动化设备感兴趣者优先 \n']"
芒果松,Python开发工程师 ,12k-18k,深圳,经验1-3年,['本科及以上 /'],"['不限', '未融资', '15-50人']",https://www.lagou.com/wn/jobs/10192153.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['岗位职责： \n', '1、熟悉本部门项目开发基本流程，服从项目管理和项目经理的分配及按排； \n', '2、负责参与功能模块需求的分析设计，并对各自开发的功能分析、优化、严格按编码规范进行开发，独立完成； \n', '3、负责进行严格自测，以及项目单元测试，并保证开发质量； \n', '4、负责书写所负责模块必需的部分技术文档； \n', '5、须按计划向项目经理及上级汇报执行总结，以及相关的问题； \n', '6、有义务对项目工作提出建设性建议以及对团队提出建设性建议； \n', '7、与测试及相关部门进行有效沟通，高质量的完成团队的项目。 \n', ' \n', '任职条件： \n', '1、参与开发过Python项目工作,且自己参与过四个以上的项目 \n', '2、熟练常见Python开发框架（例如Scrapy/Twisted/Tornado/Django/web2py,tkinter,selenium等，以及熟练PGSQL数据库,MySQL等操作、数据批处理、数据同步； \n', '3、有良好的代码开发规范习惯，以及需要对开发思路清晰；能处理一定的项目上问题，并提出开发建议； \n', ' \n', '职位诱惑： \n', '1、弹性工作制，上班不打卡，发展空间大， \n', '2、公司平均年龄25岁，年轻化的团队，沟通以及技术交流十分便捷 \n', '3.公司有浓厚的技术学习氛围，有大牛亲自带，丰富的项目可以实战 \n', '4.公司每周3-4次下午茶。 \n', '5.公司每周1次羽毛球活动 \n', '6.入职提供五险一金']"
佰悦互娱,python开发 ,18k-36k,武汉,经验3-5年,['本科及以上 /'],"['游戏,软件服务｜咨询,IT技术服务｜咨询', '不需要融资', '50-150人']",https://www.lagou.com/wn/jobs/9029282.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['工作内容： \n', '负责手机游戏的服务端开发和优化 \n', '负责平台项目的后台开发和维护 \n', ' \n', '岗位要求： \n', '熟悉Python语言，并理解最佳实践 \n', '熟悉WebSocket/HTTP2，对web开发有深刻的理解 \n', '熟练掌握并发编程，理解分布式系统和微服务设计 \n', '具有良好的算法基础和计算机网络基础 \n', '熟悉MySQL/MongoDB/Redis \n', '对代码质量有良好的意识，重视code review']"
1Token,python开发工程师 ,12k-24k,上海,经验1-3年,['本科及以上 /'],"['科技金融', 'A轮', '50-150人']",https://www.lagou.com/wn/jobs/6102390.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['- 从15年起，创始团队在web3金融领域已有多块盈利良好的业务线 \n', '- 团队来自南洋理工、纽约大学、杜克大学、芝加哥大学、复旦、交大、同济、财大等学校，以及Google、摩根士丹利、paypal、refinitiv（300亿美金被收购）、东方财富证券、中信证券、恒生电子等背景 \n', '- 稳定性 + 高成长：有存量业务保证稳定性的情况下，新业务线发展迅速，每年3倍的速度增长 \n', ' \n', '- 公司技术氛围好，CTO是联合创始人。技术栈新（golang/docker/云原生）， 有完善的code review和coverage体系。个人成长空间大，不做螺丝钉。 \n', ' \n', '首先 非常感谢您关注我们公司的职位，另需同步的是：我们在招目前使用java/python/C/PHP等语言并且愿意转golang的候选人。 \n', '其次，我们公司非常乐意与各位小伙伴分享关于golang的一些技术、培训和项目经验。 \n', '以及我们会根据不同的小伙伴来制定不同的培训计划以及目标。 \n', ' \n', '所以，如果您有兴趣 欢迎投递简历。 \n', ' \n', '你的工作/职责可能包括 （看你兴趣咯） \n', '1、创建和维护Restful API \n', '2、连接底层架构（包括但不限于PostgreSQL, Elasticsearch, kafka, redis, hadoop) 中间件开发、维护和监控 \n', '3、高并发回测系统的开发和测试 \n', ' \n', '我们希望你 \n', '1、富有严密的逻辑推理能力，享受思考的乐趣，喜欢折腾各种新奇有趣的事物 \n', '2、本科以上学历 计算机相关专业 \n', '3、拥有扎实的理论功底 \n', '4、熟练掌握python, git \n', ' \n', '对自己的学习能力充满信心！ \n', '如果你恰好又 \n', '1、熟悉linux \n', '2、能够写出结构化，易维护的代码 \n', '3、在开源项目中有点贡献 \n', ' \n', '那我们会优先考虑你哦~ \n', ' \n', ' \n', '总体介绍 \n', '- 我们是全球领先的Web3金融软件提供商，对标FIS, SS&C, 恒生电子等传统金融软件上市公司，是该领域在亚洲的领跑企业，业务已经涉及北美，欧洲，中东，南美等地区 \n', ' \n', '- 目前已服务全球40+Web 3 金融机构，总资产承载规模200亿美金+，20-21年业绩增长超8倍 \n', ' \n', '- 团队已经在金融科技领域有成功的创业案例 & 稳定性高, 其中核心成员来自新加坡南洋理工，芝加哥大学，清华大学、复旦大学和同济大学等知名高校，核心团队有6年+的金融市场IT基建研发经验，及10年+的传统金融系统服务经验，此前任职于Morgan Stanley、字节跳动、McKinsey、Refinitiv、恒生电子等 \n', ' \n', '- 公司已完成一轮1000万+美金融资，直接股东包括知名Fintech公司、交易所、基金、间接股东包括高盛、淡马锡、国家金融公司(IFC) \n', ' \n', '公司亮点： \n', '- 超高速增长的Web3金融行业与业务，工作节奏快，学习曲线陡峭 \n', '- 对新一代全球金融市场参与的机构类型以及各业务线建立认知，了解最新市场行业趋势 \n', '- 凭借优质资源，建立与全球领先金融机构资源网络，未来职业上升空间巨大']"
睿云联,Python开发工程师 ,12k-24k,厦门,经验3-5年,['本科及以上 /'],"['人工智能,工具,物联网', '不需要融资', '150-500人']",https://www.lagou.com/wn/jobs/10289860.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['岗位职责： \n', '1、负责智能家居终端产品后台服务研发； \n', '2、与相关部门沟通，确定具体软件需求，撰写技术方案和系统设计、编码与发布，完成相关技术文档编写； \n', '3、持续对系统架构进行改造和优化； \n', '4、通过自动化工具及流程提升工作效率，根据需要编写服务的测试脚本、升级脚本等。 \n', ' \n', '任职要求： \n', '1、本科及以上学历，计算机、电子、通信等相关专业，3年及以上python编程经验； \n', '2、具备良好的基本功，熟练使用基本的数据结构和算法，深入理解多线程、Socket等相关技术； \n', '3、精通Python语言，熟练使用Python标准库和流行的第三方库； \n', '4、熟悉Internet常用协议，如HTTP、TCP/IP等； \n', '5、责任心强，良好的逻辑思维能力，清晰的交流和表达能力，具有良好的团队合作意识； \n', '6、对代码和设计质量有严格要求，重视CodeReview，良好的编程习惯； \n', '7、有以下经验者优先： \n', '①具有物联网集成实际工作经验； \n', '②具有智能家居相关实际工作经验；']"
云孚科技,python开发工程师 ,6k-12k,广州,经验不限,['本科及以上 /'],"['人工智能服务', '不需要融资', '15-50人']",https://www.lagou.com/wn/jobs/8789620.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['【岗位职责】\n', '\n', '1. NLP系统后台开发。\n', '\n', '2. 业务系统后台开发。\n', '\n', '3.产品的部署、调试、现场技术指导、故障分析和排除等。\n', '\n', '4.为客户提供技术指导和培训，帮助客户解决技术问题。\n', '\n', '5.对已上线系统进行定期巡检和售后问题分析处理。\n', '\n', '6.了解客户业务需求，提供解决方案及技术建议方案。\n', '\n', '7.有驻场经验者优先。\n', '\n', '\n', '\n', '【任职要求】\n', '\n', '1. 本科及以上学历，计算机或相关专业。\n', '\n', '2. 较强的编码能力，熟悉Python。\n', '\n', '3. 学习能力强，有创业心态。\n', '\n', '4.熟悉Linux，能动手调试和解决Linux中遇到的各种问题。\n', '\n', '5.熟悉docker、kubernetes、nginx、mysql等常用软件部署方式者优先。\n', '\n', '6.有Linux部署经验，具备互联网公司工作经验优先。\n', '\n', '7.优秀的沟通能力和自我管理的能力，能独立在客户现场工作。\n', '\n', '8.熟悉前端语言者优先。\n', '\n', '\n', '\n']"
达观数据,python开发 ,6k-12k,长沙,经验1年以下,['本科及以上 /'],"['人工智能服务,数据服务｜咨询', 'C轮', '中信、招商、广发、中信建投、深创投、弘卓资本、襄禾资本、尚A资本、众麟资本、联想之星和阳光保险集团(C轮)，完成B+轮融资，由深创投领投、软银赛富、晨山资本、众麟资本等跟投(B轮)，软银赛富、方广资本、真格基金、众麟资本(A轮)，获得真格基金领投 1000万天使投资(天使轮)']",https://www.lagou.com/wn/jobs/10116665.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['岗位职责： \n', '1. 负责 RPA 项目的安装、配置、调试工作； \n', '2. 负责与产品研发团队密切合作，参与产品功能设计； \n', '3. 负责 RPA 实施或测试的需求调研工作，并对需求进行评估，制定实施计划； \n', '4. 负责根据实施计划完成现场实施以及测试工作； \n', '5. 完成工作相关技术文档； \n', '6. 协调公司内部资源，确保项目按既定计划指定； \n', '7. 完成上级领导安排的其他工作任务； \n', ' \n', '岗位要求 \n', '1. 本科以上学历，计算机相关专业； \n', '2. 有 Python 编程基础； \n', '3. 有项目管理经验优先； \n', '4. 具备出色的沟通能力、实施能力和团队意识； \n', '5. 能够适应长短期出差的工作安排，出差地根据项目而定']"
云孚科技,Python开发工程师 ,10k-20k,北京,经验1-3年,['本科及以上 /'],"['人工智能服务', '不需要融资', '15-50人']",https://www.lagou.com/wn/jobs/9824140.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['【岗位职责】\n', '1. 负责人工智能系统的后端开发和维护；\n', '2. 按项目需求完成编码和单元测试等工作；\n', '3. 参与技术设计讨论会，主导设计和实现部分模块。\n', '\n', '【任职要求】\n', '1. 一年及以上Python研发经验；\n', '2. 熟悉Python常用基础库，熟悉Django、FastAPI等常用框架；\n', '3. 熟练使用Linux编程环境；\n', '4. 学习能力强、责任心强、逻辑思维清晰、具备独立解决问题能力。\n']"
墨云科技,python开发工程师 ,20k-40k,北京,经验3-5年,['本科及以上 /'],"['人工智能服务', 'B轮', '高瓴创投，将门创投，蓝驰创投(B轮)，嘉御基金，蓝驰创投，联想之星(B轮)，蓝驰创投(A轮)，联想之星领投(A轮)，实力机构投资(天使轮)']",https://www.lagou.com/wn/jobs/6804363.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['岗位职责：', '1、负责公司产品相关功能开发实现；', '2、restful api接口设计开发工作；', '3、负责解决开发过程中的技术问题；', '任职要求：', '1、本科及以上学历，计算机相关专业；', '2、具有3年以上python语言开发经验并熟练运用相关技术框架如flask、django等；', '3、追求良好的代码质量和规范，熟悉常见的重构、模式、TDD、restful api最佳实践；', '4、熟悉常见的中间件如消息队列rabbitMQ、ES、Neo4j开发技术栈；', '5、有Go、Linux Shell 开发经验者优先；', '6、强烈的责任心，良好的团队协作精神，优秀的表达和沟通能力、乐于接受挑战，能承受工作压力 ；', '7、有B2B安全产品开发经验者加分；']"
发业信息,python开发工程师 ,15k-20k,广州,经验3-5年,['本科及以上 /'],"['专业服务｜咨询', '未融资', '50-150人']",https://www.lagou.com/wn/jobs/10085180.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['工作职责： \n', '1、根据产品需求,独立负责项目架构设计、编码开发； \n', '2、根据开发过程中的体验对产品提出建议，对功能及技术优化改进。 \n', ' \n', '岗位要求： \n', '1、熟练python语言,熟练使用一种Web框架开发 ( Fastapi ,Tornado,Flask,django等)； \n', '2、熟练HTML、CSS、Javascript、jQuery、AJAX、JSON、Vue、Node、NPM等前端技术。 \n', '3、熟练使用MySQL、MongoDB、HBase、Redis等关系/非关系数据库的使用，了解基本的数据库设计、优化原则，python的数据交互； \n', '4、熟悉Linux开发作为日常开发环境和Git代码管理工具,nginx部署； \n', '5、学历要求：**本科及以上，计算机相关专业； \n', '6、工作经验：至少2年以上相关工作经验,有独立项目开发经验； \n', '7、为人踏实认真，具有良好的分析问题和解决问题的能力，对新技术有强烈的求知欲望，乐于钻研，善于分享。']"
金蝶账无忧,Python开发工程师 ,13k-20k,深圳,经验3-5年,['本科及以上 /'],"['企业服务', '不需要融资', '50-150人']",https://www.lagou.com/wn/jobs/7135315.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['岗位职责:', '1.\xa0设计并开发票税相关业务系统的网站接口抓取、逆向分析或自动化登录服务维护；', '2.负责机器人弹性伸缩开关机与登录服务运行监控与预警;', '3、针对存在规范、设计、性能和安全问题的代码进行重构和优化', '任职资格:', '1、\xa0三年以上基于Python的后端开发工作经验，计算机相关专业本科以上学历', '2、熟悉Flask或Tornado开发框架，有爬虫、验证码识别或大数据分析统计等相关工作经验优先考虑', '3、\xa0掌握html、js、css等前端开发技术', '4、熟悉Oracle,MySQL至少一种数据库的设计和开发', '5、良好的沟通能力及团队合作精神，能承担较强工作压力']"
杉数科技,Python开发工程师 ,10k-20k,上海,经验1-3年,['本科及以上 /'],"['数据服务｜咨询,人工智能服务', 'C轮', '高达投资（Pagoda Investment）领投，将门创投、联想创投跟投(A轮)，真格基金领投，北极光创投跟投。(天使轮)']",https://www.lagou.com/wn/jobs/5191954.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['【岗位职责】\n', '\n', '1、核心算法模型实现。\n', '\n', '2、算法后台API系统设计开发和维护。\n', '\n', '3、对代码质量及项目进度负责。\n', '\n', '4、根据项目需求进行数据分析与技术支持\n', '\n', '5、使用主要编程语言python，负责web应用开发的技术工作\n', '\n', '\n', '\n', '【任职要求】\n', '\n', '1、本科以上学历，1-3年Python相关开发经验，至少熟练使用一种常用的Web框架，如Flask、Django、Tornado。\n', '\n', '2、熟练使用Mysql、Postgresql、Redis等数据库，能熟练进行数据库设计与优化 。\n', '\n', '3、有较为广泛的知识体系，包括但不限于：多种编程语言（JAVA），服务端常用框架及代码库，操作系统相关。\n', '\n', '4、除扎实编程基础以外，需要懂一定算法。\n', '\n', '5、有数据分析和运筹优化相关经验优先。\n', '\n', '6、扎实的编程基础，懂算法，热爱编程\n', '\n', '7、有强烈的自我驱动能力和自学能力，乐于接受挑战，能够承受压力。\n']"
信永中和,Python开发工程师 ,15k-25k,北京,经验3-5年,['本科及以上 /'],"['专业服务｜咨询', '不需要融资', '2000人以上']",https://www.lagou.com/wn/jobs/5158022.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['职位诱惑： \n', '1、 你将加入的是一支具备深度数据分析、大数据与人工智能领域的核心团队 \n', '2、 你将面对是来自国内央企和大型国企的信息化需求 \n', '3、 你将成为兼具技术与行业理解的复合型人才 \n', '4、 你的晋升评估和绩效考核会被科学和客观的评估 \n', '5、 对有项目和工作经历的你：我们需要你思维敏锐、持续挑战技术难点的热情。 \n', '6、 对刚毕业和刚完成培训的你：我们需要你好学、对技术充满热情、并有自己的学习和经验成长的规划甚至挑战目标。 \n', ' \n', '专业要求：计算机、信息系统、数学、统计学及相关专业 \n', ' \n', ' \n', '岗位职责： \n', '1、设计和开发面向前端的Restful服务 \n', '2、配合产品和前端设计产品交互和接口设计方案 \n', '3、某些业务逻辑需要异步调用第三方服务 \n', '4、要对自己的模块技术质量负责，要关注最终相关的产品用户体验。 \n', '5、要对产品的业务发展有一定关注 \n', '岗位要求 \n', '0、**本科学历，211优先，计算机专业优先。 \n', '1、优秀的自我驱动与主动学习能力。 \n', '2、强悍的debug问题解决能力 \n', '3、有良好的编程理念和项目架构设计意识。 \n', '4、Python Django纯熟，能够快速掌握DjangoRestFramework，或者熟悉其它Web快速开发框架。 \n', '5、对Restful服务设计理论和方法有一定深度的理解，熟悉HTTP协议。 \n', '6、对自己写的代码要能理解，对使用的技术要有一定深度的理解,有一定的代码分析和优化能力 \n', '7、对相关业务设计和实现技术方案，需要异步远程调用第三方API，得能和前端端及产品人员沟通，能对设计提出建议，可以自己做一定程度的技术设计方案。 \n', '8、熟悉SQL，对RDB、NoSQL有一定理解。 \n', '9、理解异步后台任务实现机制。 \n', '10、熟悉Linux基本操作和运维。 \n', '11、有成熟的技术意识和观点，客观理性、实事求是。 \n', '加分项： \n', '能看懂Java、Go、Node.js、C++等后端代码加分 \n', '有互联网创业产品技术工作经验加分 \n', '有NewSQL数据库应用开发经验加分 \n', '有任务消息队列经验加分 \n', '有前端开发经验加分 \n', '熟悉Django Channels加分 \n', '有数据分析、数据挖掘、自然语言处理经验者加分']"
多益网络,python开发工程师 ,9k-18k,广州,经验不限,['学历不限 /'],"['游戏', '不需要融资', '2000人以上']",https://www.lagou.com/wn/jobs/7939430.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['【广州】 \n', '方向一： \n', '1、参与分布式爬虫和数据采集系统的架构设计和开发； \n', '2、负责网络数据抓取规划、定期爬取指定网站的数据； \n', '3、设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量； \n', '4、参与数据层建设，专注于垂直领域数据爬取，进行多平台信息的抓取和分析； \n', '5、实现数据提取、清洗、结构化、入库、统计分析等需求； \n', '6、研究优化算法，提升爬虫系统的稳定性、可扩展性。 \n', '方向二： \n', '负责游戏自动化测试工具及平台的后台开发工作，dev-ops+测试自动化。 \n', '【武汉】 \n', '1、参与Python分布式爬虫和数据采集系统的架构设计、开发和维护。 \n', '2、参与Python数据平台、Web服务、机器学习等相关开发工作。 \n', '岗位要求： \n', '【广州】 \n', '方向一： \n', '1、计算机相关专业，有爬虫和反爬虫开发经验优先，有App爬取经验优先； \n', '2、熟悉linux平台开发，精通Python，熟悉常用的爬虫框架和工具； \n', '3、熟悉MongoDB、Redis、Mysql，掌握MQ，了解HBase、KAFKA等； \n', '4、熟悉HTTP协议，熟悉正则表达式、XPath、CSS选择器等，了解常用验证码识别技术； \n', '5、能独立解决实际开发过程碰到的各类问题。 \n', '方向二： \n', '1、计算机相关专业毕业； \n', '2、熟练掌握Python编程，有一定的web后台开发经验者尤佳； \n', '3、热爱游戏，对参与游戏自动化测试开发领域有热忱。 \n', '【武汉】 \n', '1、计算机相关专业。 \n', '2、能熟练使用Python语言开发；有阅读和理解Python代码的能力。 \n', '3、能够独立分析大型网站页面结构，并完成所需数据的爬取、分析、筛选、储存功能。 \n', '4、熟悉Mysql等至少一种关系型数据库。熟悉Redis、MongoDB等数据库者优先。 \n', '5、熟悉Falsk/Tornado/Django等Web开发框架者优先。 \n', '6、熟悉数据挖掘、自然语言处理、信息检索、机器学习等技术者优先。 \n', '7、有良好的学习能力，能够根据需求学习新技术并应用于开发。 \n', '提示：公司实行全面禁烟制度，吸烟者需戒烟后才能入职']"
发业信息,python开发工程师 ,15k-20k,广州,经验3-5年,['本科及以上 /'],"['专业服务｜咨询', '未融资', '50-150人']",https://www.lagou.com/wn/jobs/10085180.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['工作职责： \n', '1、根据产品需求,独立负责项目架构设计、编码开发； \n', '2、根据开发过程中的体验对产品提出建议，对功能及技术优化改进。 \n', ' \n', '岗位要求： \n', '1、熟练python语言,熟练使用一种Web框架开发 ( Fastapi ,Tornado,Flask,django等)； \n', '2、熟练HTML、CSS、Javascript、jQuery、AJAX、JSON、Vue、Node、NPM等前端技术。 \n', '3、熟练使用MySQL、MongoDB、HBase、Redis等关系/非关系数据库的使用，了解基本的数据库设计、优化原则，python的数据交互； \n', '4、熟悉Linux开发作为日常开发环境和Git代码管理工具,nginx部署； \n', '5、学历要求：**本科及以上，计算机相关专业； \n', '6、工作经验：至少2年以上相关工作经验,有独立项目开发经验； \n', '7、为人踏实认真，具有良好的分析问题和解决问题的能力，对新技术有强烈的求知欲望，乐于钻研，善于分享。']"
